Município,Regional,Tipo,Área de atuação,2020,2021,2022,2023,2024,2025
Santa Bárbara d'Oeste,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,8,8,3,4,2,1
Santa Bárbara d'Oeste,Campinas,RRT Inicial,Meio Ambiente,7,7,7,1,6,5
Santo Antônio de Posse,Campinas,RRT Inicial,Planejamento Urbano e Regional,0,0,0,2,0,0
Santo Antônio de Posse,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,1,0,1,0,1,3
Santo Antônio de Posse,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,6,1,3,6,4,3
Santo Antônio de Posse,Campinas,RRT Inicial,Arquitetura das Edificações,49,75,53,41,45,62
Santo Antônio de Posse,Campinas,RRT Inicial,Conforto Ambiental,0,0,0,2,3,3
Sumaré,Campinas,RRT Inicial,Meio Ambiente,2,1,1,1,3,2
Sumaré,Campinas,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,0,1,0,0
Sumaré,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,3,2,8,9,6,5
Sumaré,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,22,16,16,17,14,40
Sumaré,Campinas,RRT Inicial,Arquitetura das Edificações,239,309,279,341,261,346
Sumaré,Campinas,RRT Inicial,Conforto Ambiental,9,13,11,19,6,12
Sumaré,Campinas,RRT Inicial,Planejamento Urbano e Regional,1,1,0,0,0,0
Valinhos,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,8,16,7,11,13,5
Valinhos,Campinas,RRT Inicial,Conforto Ambiental,21,30,24,27,27,20
Valinhos,Campinas,RRT Inicial,Meio Ambiente,0,1,2,0,2,2
Valinhos,Campinas,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,0,0,0,1
Valinhos,Campinas,RRT Inicial,Planejamento Urbano e Regional,0,0,0,0,6,5
Valinhos,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,35,22,24,46,24,14
Valinhos,Campinas,RRT Inicial,Arquitetura das Edificações,661,1032,872,690,688,601
Vinhedo,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,15,21,12,7,31,26
Vinhedo,Campinas,RRT Inicial,Conforto Ambiental,15,16,10,11,11,8
Vinhedo,Campinas,RRT Inicial,Meio Ambiente,1,1,0,0,1,0
Vinhedo,Campinas,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",1,0,0,1,1,0
Vinhedo,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,15,12,12,17,15,17
Vinhedo,Campinas,RRT Inicial,Arquitetura das Edificações,653,908,640,596,763,714
Alambari,Sorocaba,RRT Inicial,Planejamento Urbano e Regional,0,3,0,0,0,0
Alambari,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,0,1,0,0,0,0
Alambari,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,6,4,7,3,0,2
Alambari,Sorocaba,RRT Inicial,Arquitetura das Edificações,16,20,11,12,12,14
Alumínio,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,0,0,0,1
Alumínio,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,2,0,0,0,0,1
Alumínio,Sorocaba,RRT Inicial,Conforto Ambiental,0,0,1,0,0,0
Alumínio,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,13,7,5,3,3,3
Alumínio,Sorocaba,RRT Inicial,Arquitetura das Edificações,57,47,42,37,54,94
Araçariguama,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,2,1,0,0,0
Araçariguama,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,18,40,8,11,4,3
Araçariguama,Sorocaba,RRT Inicial,Meio Ambiente,0,1,0,1,1,0
Araçariguama,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,6,8,9,8,7,6
Araçariguama,Sorocaba,RRT Inicial,Arquitetura das Edificações,123,188,93,147,121,105
Araçariguama,Sorocaba,RRT Inicial,Planejamento Urbano e Regional,2,0,0,0,0,0
Araçariguama,Sorocaba,RRT Inicial,Conforto Ambiental,2,2,0,17,4,3
Araçoiaba da Serra,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,1,5,2,0,1
Araçoiaba da Serra,Sorocaba,RRT Inicial,Planejamento Urbano e Regional,0,0,0,3,0,0
Araçoiaba da Serra,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,35,55,42,35,53,26
Araçoiaba da Serra,Sorocaba,RRT Inicial,Arquitetura das Edificações,293,400,340,347,314,362
Araçoiaba da Serra,Sorocaba,RRT Inicial,Conforto Ambiental,0,2,3,2,1,0
Araçoiaba da Serra,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,1,2,3,3,1,3
Araçoiaba da Serra,Sorocaba,RRT Inicial,Meio Ambiente,0,0,0,0,0,1
Boituva,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,2,2,2,2,4,8
Boituva,Sorocaba,RRT Inicial,Conforto Ambiental,0,1,1,3,1,2
